unemployment,violent_total
6.717,406.4
5.75,391.4
9.4,646
8.208,584.7
6.992,577.2
7.783,614.2
12.325,639.5
12.425,641.9
15.383,656.6
14.367,716.7
11.225,760.1
9.967,734.1
8.842,803.9
8.308,780.1
7.492,741.7
7.133,709.2
7.617,790.4
9.217,803.1
8.983,770.1
7.225,791.5
6,766.1
5.267,687.8
4.9,635.3
4.275,590
3.908,620.8
3.717,574.9
3.608,555
5.192,553.9
6.258,540.7
7.167,511.3
7.058,492.2
6.775,554
7,564.4
7.033,533.8
7.983,514.9
13.658,499.8
12.592,493
10.383,442.8
9.117,455
8.8,452.2
7.25,427.3
5.875,189
5.283,193.8
3.892,189.6
4.225,221
5.775,227.8
5.8,228.5
7.9,219.3
8.017,190.9
6.3,211.5
5.992,256.4
5.533,284.6
5.133,285.4
4.283,290.1
4.342,288.3
4.783,306.1
5.158,316
5.125,338
4.958,353.9
4.083,359
3.758,356.1
3.975,338.8
3.267,337.8
2.7,310.2
2.758,274
3.15,280.8
3.767,263.7
4.5,267.2
4.875,262.9
4.683,269.8
4.067,297
3.992,310.5
4.567,289.6
5.442,265.4
7.767,244.5
7.408,235.7
6.492,230.5
5.617,230.9
4.967,234.4
4.158,229.1
6.558,295.4
7.292,288.7
6.933,321.2
5.75,323.6
7.417,341.9
8.5,304.6
11.033,294.6
12.058,280.4
10.542,282
10.392,270.9
11.4,274.1
9.958,269.8
8.433,325.2
7.833,311.2
7.6,340.4
8.517,389.1
8.042,411.7
6.617,433.9
6.267,493.7
6.217,502.8
6.025,488.3
5.708,469
5.267,410.7
5.117,349.3
5.375,360.9
5.533,349.9
6.625,343.9
6.325,323.9
6.15,295.4
7.475,280
6.542,311.8
6.092,291.3
6.567,304.3
9.475,286.3
10.383,269.3
9.975,269
8.975,260.1
8.55,277.5
7.5,278.5
6.25,449.4
6.033,460.4
4.908,467.9
4.8,527.2
7.2,554.5
7.65,540.2
9.242,506.5
9.883,477.2
7.158,460.7
6.525,503.5
6.208,578.6
6.275,544.6
5.717,552.5
5.542,632.6
5.833,715.3
6.583,763
6.175,740.4
6.242,744.4
5.075,743.5
4.725,663.8
4.792,590.9
4.342,577.4
4.167,555.7
3.292,500.2
3.583,490
4.625,540.5
5.392,539
5.617,490.8
5.858,490.1
5.392,526
4.85,545.9
5.108,560.7
6.142,502.4
9.275,492.9
9.592,457.7
8.475,447.5
6.95,451.3
6.708,433.7
6.133,442.9
5.967,180.3
6.3,218
5.75,237.6
5.183,224.2
6.117,222.6
6.85,253
8.517,224.8
8.633,212.6
7.6,237.6
7.683,208.5
7.933,157.4
7.45,151.2
6.642,123
5.792,116
5.958,159.3
6.917,139.9
6.742,169.9
6.05,177.5
5.258,177.1
5.65,171.4
5.308,161
5.333,132.1
5.542,204.2
5.258,236.8
4.958,311.1
4.55,352
4.417,351.2
4.717,365
4.767,293.8
4.35,282
3.483,377.3
3.558,379.8
5.067,311.4
6.842,287
7.3,275.8
6.958,276.1
5.992,278.8
5.417,288.1
4.675,323.7
3.225,210.5
3.45,199.4
3.15,190.5
3.042,225.9
3.933,224.6
4.233,181.5
5.642,229.6
5.567,217.7
4.475,225.8
5.183,237.9
5.025,262.6
4.417,251.2
3.592,273.2
2.942,279.5
2.35,330
2.667,334.6
2.875,348.6
2.775,377.8
2.65,389.5
2.65,382
2.733,434.7
2.492,438.4
2.558,451.4
2.8,430.2
2.825,327.6
3.117,303.1
3.65,314.2
3.942,293.8
3.858,308.6
3.8,287
3.125,293.9
2.992,311.3
3.333,312.3
4.625,289.4
4.642,278.3
4.417,253.6
4.008,258.8
3.767,264.8
3.275,280.4
8.792,691
6.725,743
4.458,780.8
4.942,835.6
6.158,912.6
7.192,896.4
9.875,805.4
9.592,655.2
7.892,628.5
7.717,667.1
